INCHIKEY,name,orig_target_ann,target_count,targets,DTXSID
ACRHBAYQBXXRTO-UHFFFAOYSA-N,Ivabradine HCl,Adrenergic Receptor,,,
XSVMFMHYUFZWBK-UHFFFAOYSA-N,Rivastigmine Tartrate,AChR,2,"ACHE, BCHE",DTXSID7023564
CUHVIMMYOGQXCV-UHFFFAOYSA-N,Dexmedetomidine HCl,Adrenergic Receptor,1,ADRA2A,DTXSID10873388
NWIUTZDMDHAVTP-UHFFFAOYSA-N,Betaxolol,Adrenergic Receptor,1,ADRB1,DTXSID2022674
RHDJRPPFURBGLQ-UHFFFAOYSA-N,Detomidine HCl,Adrenergic Receptor,,,
BIDNLKIUORFRQP-UHFFFAOYSA-N,Fosinopril Sodium,RAAS,,,
WKEMJKQOLOHJLZ-UHFFFAOYSA-N,Almotriptan Malate,5-HT Receptor,,,
OUJTZYPIHDYQMC-UHFFFAOYSA-N,Ambrisentan,Endothelin Receptor,1,EDNRA,DTXSID4046282
NAVMQTYZDKMPEU-UHFFFAOYSA-N,Bexarotene,Retinoid Receptor,3,"RXRB, RXRG, RXRA",DTXSID1040619
FIQOFIRCTOWDOW-UHFFFAOYSA-N,Temocapril HCl,RAAS,,,
YKGYIDJEEQRWQH-UHFFFAOYSA-N,Gabexate Mesylate,Serine Protease,,,
RUOKEQAAGRXIBM-UHFFFAOYSA-N,Rasagiline Mesylate,MAO,1,MAOB,DTXSID3041112
DQCKKXVULJGBQN-UHFFFAOYSA-N,Naltrexone HCl,Opioid Receptor,3,"OPRK1, OPRD1, OPRM1",DTXSID4046313
IQPSEEYGBUAQFF-UHFFFAOYSA-N,Pantoprazole,Proton Pump,,,
WUKZPHOXUVCQOR-UHFFFAOYSA-N,Azasetron HCl,5-HT Receptor,,,
NOOCSNJCXJYGPE-UHFFFAOYSA-N,Flunixin Meglumin,COX,,,
KLZWOWYOHUKJIG-UHFFFAOYSA-N,Imidapril HCl,RAAS,,,
BCFGMOOMADDAQU-UHFFFAOYSA-N,Lapatinib,"EGFR,HER2",2,"ERBB2, EGFR",DTXSID7046675
YXSLJKQTIDHPOT-UHFFFAOYSA-N,Cisatracurium Besylate,Adrenergic Receptor,,,
ZQTNQVWKHCQYLQ-UHFFFAOYSA-N,Dronedarone HCl,"Potassium Channel,Sodium Channel,Calcium Channel",,,
IKENVDNFQMCRTR-UHFFFAOYSA-N,Conivaptan HCl,Vasopressin Receptor,2,"AVPR2, AVPR1A",DTXSID80175220
ALOBUEHUHMBRLE-UHFFFAOYSA-N,Ibutilide Fumarate,Sodium Channel,,,
FYPMFJGVHOHGLL-UHFFFAOYSA-N,Probucol,LDL,,,
KCFYEAOKVJSACF-UHFFFAOYSA-N,Arbidol HCl,Anti-infection,,,
DWJZKGYQNOQQEZ-UHFFFAOYSA-N,Dextrose,0,,,
WXYXERHRDKEISL-UHFFFAOYSA-N,Xylose,Others,,,
IMSSROKUHAOUJS-UHFFFAOYSA-N,Mestranol,Estrogen/progestogen Receptor,,,
HJORMJIFDVBMOB-UHFFFAOYSA-N,S- (+)-Rolipram,PDE,6,"PDE4D, PDE4A, PDE3B, PDE4C, PDE3A, PDE4B",DTXSID3044124
UCJGJABZCDBEDK-UHFFFAOYSA-N,Bazedoxifene HCl,Estrogen/progestogen Receptor,,,
KINWYTAUPKOPCQ-UHFFFAOYSA-N,Fudosteine,Others,,,
RKUNBYITZUJHSG-UHFFFAOYSA-N,Atropine sulfate monohydrate,AChR,5,"CHRM3, CHRM2, CHRM5, CHRM1, CHRM4",DTXSID4020113
MNDBXUUTURYVHR-UHFFFAOYSA-N,Roflumilast,PDE,3,"PDE4D, PDE4A, PDE4B",DTXSID8044123
UGJMXCAKCUNAIE-UHFFFAOYSA-N,Gabapentin,GABA Receptor,2,"CACNA2D1, CACNA2D2",DTXSID0020074
RWEVIPRMPFNTLO-UHFFFAOYSA-N,AZD8330,MEK,,,
AYJRTVVIBJSSKN-UHFFFAOYSA-N,GSK1292263,GPR,,,
JWNPDZNEKVCWMY-UHFFFAOYSA-N,Neratinib (HKI-272),"EGFR,HER2",2,"ERBB2, EGFR",DTXSID70220132
VZZJRYRQSPEMTK-UHFFFAOYSA-N,"Sonidegib (Erismodegib, NVP-LDE225)",Hedgehog/Smoothened,,,
PNUZDKCDAWUEGK-UHFFFAOYSA-N,Sitafloxacin Hydrate,Anti-infection,,,
PAOANWZGLPPROA-UHFFFAOYSA-N,CGS 21680 HCl,Adenosine Receptor,2,"ADORA2A, ADORA1",DTXSID6043882
KSGXQBZTULBEEQ-UHFFFAOYSA-N,Dabigatran Etexilate,Thrombin,,,
NIDRNVHMMDAAIK-UHFFFAOYSA-N,LY2886721,BACE,,,
SZBGQDXLNMELTB-UHFFFAOYSA-N,Taladegib (LY2940680),"Hedgehog,Hedgehog/Smoothened",,,
SNUDIPVBUUXCDG-UHFFFAOYSA-N,Tebipenem Pivoxil,Anti-infection,,,
YABJJWZLRMPFSI-UHFFFAOYSA-N,RAF265 (CHIR-265),"Raf,VEGFR",,,
UCJGJABZCDBEDK-UHFFFAOYSA-N,Bazedoxifene Acetate,Estrogen/progestogen Receptor,,,
DRLXVNRHGMULCY-UHFFFAOYSA-N,Rosuvastatin Calcium,HMG-CoA Reductase,1,HMGCR,DTXSID8048492
NCLGDOBQAWBXRA-UHFFFAOYSA-N,Telotristat Etiprate (LX 1606 Hippurate),Hydroxylase,,,
GJQPMPFPNINLKP-UHFFFAOYSA-N,Dichlorphenamide (Diclofenamide),Others,11,"CA3, CA2, CA14, CA7, CA5A, CA4, CA12, CA9, CA5B, CA6, CA1",DTXSID1022922
SEKJSSBJKFLZIT-UHFFFAOYSA-N,AG-14361,PARP,,,
SQSZANZGUXWJEA-UHFFFAOYSA-N,Gandotinib (LY2784544),JAK,,,
MXAYKZJJDUDWDS-UHFFFAOYSA-N,Ixazomib (MLN2238),Proteasome,,,
YTXSYWAKVMZICI-UHFFFAOYSA-N,Ixazomib Citrate (MLN9708),Proteasome,,,
PGXYIBJJCLWJST-UHFFFAOYSA-N,SB743921 HCl,Kinesin,,,
MVZGYPSXNDCANY-UHFFFAOYSA-N,AST-1306,EGFR,,,
WGZOTBUYUFBEPZ-UHFFFAOYSA-N,SB505124,TGF-beta/Smad,1,TGFBR1,DTXSID50431926
PTQXTEKSNBVPQJ-UHFFFAOYSA-N,Avasimibe,P450 (e.g. CYP17),,,
DFJSJLGUIXFDJP-UHFFFAOYSA-N,Sapitinib (AZD8931),"EGFR,HER2",,,
ZHJGWYRLJUCMRT-UHFFFAOYSA-N,GSK461364,PLK,,,
NHHQJBCNYHBUSI-UHFFFAOYSA-N,R406,"FLT3,Syk",1,SYK,DTXSID30458939
MTJHLONVHHPNSI-UHFFFAOYSA-N,Lexibulin (CYT997),Microtubule Associated,,,
MHXGEROHKGDZGO-UHFFFAOYSA-N,SGI-1776 free base,Pim,1,PIM1,DTXSID10647329
UXOWGYHJODZGMF-UHFFFAOYSA-N,Aliskiren Hemifumarate,RAAS,,,
PDYXPCKITKHFOZ-UHFFFAOYSA-N,BMS-794833,"c-Met,VEGFR",,,
BCPNSUHDMLFQPA-UHFFFAOYSA-N,R788 (Fostamatinib) Disodium,Syk,,,
ZMEULISFKSVRLQ-UHFFFAOYSA-N,Formestane,Aromatase,1,CYP19A1,DTXSID3034113
SUNXHXDJOIXABJ-UHFFFAOYSA-N,AZ 960,JAK,,,
DWJXYEABWRJFSP-UHFFFAOYSA-N,DAPT (GSI-IX),"Beta Amyloid,Gamma-secretase",,,
ZTFBIUXIQYRUNT-UHFFFAOYSA-N,Mubritinib (TAK 165),HER2,,,
UWKQSNNFCGGAFS-UHFFFAOYSA-N,Irinotecan HCl Trihydrate,Topoisomerase,2,"TOP1, TOP1MT",DTXSID6045953
ZVHNDZWQTBEVRY-UHFFFAOYSA-N,Momelotinib (CYT387),JAK,,,
MLSAQOINCGAULQ-UHFFFAOYSA-N,SB590885,Raf,,,
WPEWQEMJFLWMLV-UHFFFAOYSA-N,Apatinib?mesylate,VEGFR,,,
ARJCBSRIPGJMAD-UHFFFAOYSA-N,UK 383367,Procollagen C Proteinase,,,
IFSDAJWBUCMOAH-UHFFFAOYSA-N,"Idelalisib (CAL-101, GS-1101)",PI3K,,,
SJDDOCKBXFJEJB-UHFFFAOYSA-N,Belnacasan (VX-765),Caspase,,,
SVOQIEJWJCQGDQ-UHFFFAOYSA-N,Eltrombopag Olamine,Thrombin,,,
IVRXNBXKWIJUQB-UHFFFAOYSA-N,Galunisertib (LY2157299),TGF-beta/Smad,,,
QFCXANHHBCGMAS-UHFFFAOYSA-N,Telatinib,"c-Kit,PDGFR,VEGFR",,,
FPCCSQOGAWCVBH-UHFFFAOYSA-N,Ketanserin,5-HT Receptor,1,HTR2A,DTXSID3023188
SUBDBMMJDZJVOS-UHFFFAOYSA-N,Esomeprazole sodium,ATPase,,,
SXNJFOWDRLKDSF-UHFFFAOYSA-N,Volasertib (BI 6727),PLK,,,
YEAHTLOYHVWAKW-UHFFFAOYSA-N,Palomid 529 (P529),mTOR,,,
DCCSDBARQIPTGU-UHFFFAOYSA-N,Fesoterodine Fumarate,AChR,,,
LIDOPKHSVQTSJY-UHFFFAOYSA-N,Degrasyn (WP1130),"Bcr-Abl,DUB",,,
CWHUFRVAEUJCEF-UHFFFAOYSA-N,"Buparlisib (BKM120, NVP-BKM120)",PI3K,1,PIK3CA,DTXSID50241486
MUOKSQABCJCOPU-UHFFFAOYSA-N,Silmitasertib (CX-4945),Casein Kinase,3,"CSNK2A2, CSNK2A1, CSNK2B",DTXSID40143602
WMBWREPUVVBILR-UHFFFAOYSA-N,(-)-Epigallocatechin Gallate,"DNA Methyltransferase,HER2,Telomerase,EGFR,Fatty Acid Synthase",,,
ZRJBHWIHUMBLCN-UHFFFAOYSA-N,(-)-Huperzine A (HupA),"GluR,AChR",,,
HSHNITRMYYLLCV-UHFFFAOYSA-N,4-Methylumbelliferone (4-MU),Others,,,
XHCADAYNFIFUHF-UHFFFAOYSA-N,Esculin,Others,,,
XUCIJNAGGSZNQT-UHFFFAOYSA-N,Amygdalin,Others,,,
CKZDDLBOPCFVJG-UHFFFAOYSA-N,Andrographolide,NF-κB,,,
KZNIFHPLKGYRTM-UHFFFAOYSA-N,Apigenin,P450 (e.g. CYP17),,,
BJRNKVDFDLYUGJ-UHFFFAOYSA-N,Arbutin,Tyrosinase,,,
SXYIRMFQILZOAM-UHFFFAOYSA-N,Artemether,Anti-infection,,,
FIHJKUPKCHIPAT-UHFFFAOYSA-N,Artesunate,STAT,,,
FXNFHKRTJBSTCS-UHFFFAOYSA-N,Baicalein,P450 (e.g. CYP17),,,
IKIIZLYTISPENI-UHFFFAOYSA-N,Baicalin,GABA Receptor,,,
YWJXCIXBAKGUKZ-UHFFFAOYSA-N,Bergenin,Others,,,
YBHILYKTIRIUTE-UHFFFAOYSA-N,Berberine chloride,Anti-infection,,,
QAIPRVGONGVQAS-UHFFFAOYSA-N,Caffeic Acid,Others,,,
CWVRJTMFETXNAD-UHFFFAOYSA-N,Chlorogenic Acid,Others,,,
KMPWYEUPVWOPIM-UHFFFAOYSA-N,Cinchonidine,Anti-infection,,,
KMPWYEUPVWOPIM-UHFFFAOYSA-N,Cinchonine(LA40221),Others,,,
IAKHMKGGTNLKSZ-UHFFFAOYSA-N,Colchicine,Microtubule Associated,16,"TUBA4A, TUBB2A, TUBA3D, ABCB1, TUBB8, TUBB, TUBA1C, TUBA1B, TUBB1, TUBB6, TUBA1A, TUBA3E, TUBB4B, TUBB3, TUBB2B, TUBB4A",DTXSID5024845
PMATZTZNYRCHOR-UHFFFAOYSA-N,Cyclosporin A,Immunology & Inflammation related,1,PPIA,DTXSID0020365
ANJTVLIZGCUXLD-UHFFFAOYSA-N,Cytisine,AChR,1,CHRNA4,DTXSID00883395
KYQZWONCHDNPDP-UHFFFAOYSA-N,Daidzin,Dehydrogenase,,,
BJDCWCLMFKKGEE-UHFFFAOYSA-N,Dihydroartemisinin (DHA),Others,,,
GZSOSUNBTXMUFQ-UHFFFAOYSA-N,Diosmin,Others,,,
RHMXXJGYXNZAPX-UHFFFAOYSA-N,Emodin,Dehydrogenase,,,
YLHIVIHHVKLKEI-UHFFFAOYSA-N,Enoxolone,Dehydrogenase,1,HSD11B1,DTXSID9020669
HKQYGTCOTHHOMP-UHFFFAOYSA-N,Formononetin,Others,,,
KSEBMYQBYZTDHS-UHFFFAOYSA-N,Ferulic Acid,Others,,,
QCQGNTXXPCJRFZ-UHFFFAOYSA-N,Glycyrrhizin (Glycyrrhizic Acid),"Dehydrogenase,MAO,High-mobility Group",,,
OCDGBSUVYYVKQZ-UHFFFAOYSA-N,Gramine,Others,,,
QUQPHWDTPGMPEX-UHFFFAOYSA-N,Hesperidin,Others,,,
FVYXIJYOAGAUQK-UHFFFAOYSA-N,Honokiol,"Akt,MEK",,,
DGABKXLVXPYZII-UHFFFAOYSA-N,Hyodeoxycholic acid (HDCA),Others,,,
IYRMWMYZSQPJKC-UHFFFAOYSA-N,Kaempferol,"Fatty Acid Synthase,Estrogen/progestogen Receptor",,,
SBUJHOSQTJFQJX-UHFFFAOYSA-N,Kanamycin sulfate,Anti-infection,,,
QANMHLXAZMSUEX-UHFFFAOYSA-N,Kinetin,Others,,,
IXDZFGATLNCIOI-UHFFFAOYSA-N,L-(+)-Rhamnose Monohydrate,Others,,,
NWBWCXBPKTTZNQ-UHFFFAOYSA-N,Lappaconitine,Sodium Channel,,,
IQPNAANSBPBGFQ-UHFFFAOYSA-N,Luteolin,PDE,,,
VVOAZFWZEDHOOU-UHFFFAOYSA-N,Magnolol,NF-κB,,,
GUMSHIGGVOJLBP-UHFFFAOYSA-N,Methyl-Hesperidin,Others,,,
DFPMSGMNTNDNHN-UHFFFAOYSA-N,Naringin,P450 (e.g. CYP17),,,
ITVGXXMINPYUHD-UHFFFAOYSA-N,Neohesperidin Dihydrochalcone (Nhdc),Others,,,
ARGKVCXINMKCAZ-UHFFFAOYSA-N,Neohesperidin,ROS,,,
PXQPEWDEAKTCGB-UHFFFAOYSA-N,Orotic acid (6-Carboxyuracil),Others,,,
MBRLOUHOWLUMFF-UHFFFAOYSA-N,Osthole,Others,,,
XVPBINOPNYFXID-UHFFFAOYSA-N,Oxymatrine,Others,,,
UILPJVPSNHJFIK-UHFFFAOYSA-N,Paeonol,MAO,,,
KTEXNACQROZXEV-UHFFFAOYSA-N,(-)-Parthenolide,"HDAC,NF-κB,Mdm2,p53",,,
MXXWOMGUGJBKIW-UHFFFAOYSA-N,Piperine,P450 (e.g. CYP17),,,
HKEAFJYKMMKDOR-UHFFFAOYSA-N,Puerarin,5-HT Receptor,,,
REFJWTPEDVJJIY-UHFFFAOYSA-N,Quercetin Dihydrate,Others,1,AKR1B1,DTXSID4021218
JUVIOZPCNVVQFO-UHFFFAOYSA-N,Rotenone (Barbasco),Anti-infection,,,
IKGXIBQEEMLURG-UHFFFAOYSA-N,Rutin,Immunology & Inflammation related,,,
NGFMICBWJRZIBI-UHFFFAOYSA-N,Salicin,COX,,,
SEBFKMXJBCUCAI-UHFFFAOYSA-N,Silibinin,Others,,,
INYYVPJSBIVGPH-UHFFFAOYSA-N,Sinomenine,Others,,,
YRCWQPVGYLYSOX-UHFFFAOYSA-N,Synephrine,Adrenergic Receptor,,,
ULSUXBXHSYSGDT-UHFFFAOYSA-N,Tangeretin,ROS,,,
AIGAZQPHXLWMOJ-UHFFFAOYSA-N,Tanshinone I,Phospholipase (e.g. PLA),,,
HYXITZLLTYIPOF-UHFFFAOYSA-N,Tanshinone IIA,Lipase,,,
BYVWXQRJRYELNP-UHFFFAOYSA-N,Taxifolin (Dihydroquercetin),VEGFR,,,
IYVFNTXFRYQLRP-UHFFFAOYSA-N,Troxerutin,Others,,,
WCGUUGGRBIKTOS-UHFFFAOYSA-N,Ursolic Acid,Others,,,
BLGXFZZNTVWLAY-UHFFFAOYSA-N,Yohimbine HCl,Adrenergic Receptor,3,"ADRA2C, ADRA2B, ADRA2A",DTXSID9040130
LDCYZAJDBXYCGN-UHFFFAOYSA-N,5-hydroxytryptophan (5-HTP),Others,,,
UBCKYWKJKPMKAA-UHFFFAOYSA-N,Aloin,Tyrosinase,,,
QCQGNTXXPCJRFZ-UHFFFAOYSA-N,Ammonium Glycyrrhizinate,Dehydrogenase,,,
QCQGNTXXPCJRFZ-UHFFFAOYSA-N,Ammonium Glycyrrhizate,Others,,,
YBCNXCRZPWQOBR-UHFFFAOYSA-N,Butylscopolamine Bromide,Others,,,
MBNGWHIJMBWFHU-UHFFFAOYSA-N,Diosmetin,P450 (e.g. CYP17),,,
FBPFZTCFMRRESA-UHFFFAOYSA-N,D-Mannitol,Others,,,
PUQSUZTXKPLAPR-UHFFFAOYSA-N,Gastrodin,Immunology & Inflammation related,,,
WZUVPPKBWHMQCE-UHFFFAOYSA-N,Hematoxylin,Others,,,
JNLNPCNGMHKCKO-UHFFFAOYSA-N,Indirubin,GSK-3,,,
PHIQHXFUZVPYII-UHFFFAOYSA-N,L-carnitine,Others,1,SLC22A5,DTXSID3022744
CWBZAESOUBENAP-UHFFFAOYSA-N,Naringin Dihydrochalcone,P450 (e.g. CYP17),,,
HSTZMXCBWJGKHG-UHFFFAOYSA-N,Polydatin,Phospholipase (e.g. PLA),,,
REFJWTPEDVJJIY-UHFFFAOYSA-N,Quercetin,"Src,Sirtuin,PKC,PI3K",1,AKR1B1,DTXSID4021218
FBPFZTCFMRRESA-UHFFFAOYSA-N,Sorbitol,Others,,,
ILRCGYURZSFMEG-UHFFFAOYSA-N,Salidroside,Others,,,
DXDRHHKMWQZJHT-UHFFFAOYSA-N,Isoliquiritigenin,Others,,,
YKRGDOXKVOZESV-UHFFFAOYSA-N,Paeoniflorin,Others,,,
IBFYXTRXDNAPMM-UHFFFAOYSA-N,Geniposide,Others,,,
SFBODOKJTYAUCM-UHFFFAOYSA-N,Ipriflavone (Osteofix),Others,,,
FDGQSTZJBFJUBT-UHFFFAOYSA-N,Hypoxanthine,Others,,,
AEQDJSLRWYMAQI-UHFFFAOYSA-N,Rotundine,Dopamine Receptor,,,
YRCWQPVGYLYSOX-UHFFFAOYSA-N,Synephrine HCl,Adrenergic Receptor,,,
NYHBQMYGNKIUIF-UHFFFAOYSA-N,Guanosine,Others,,,
UGQMRVRMYYASKQ-UHFFFAOYSA-N,Inosine,Others,,,
JLRGJRBPOGGCBT-UHFFFAOYSA-N,Tolbutamide,Potassium Channel,,,
WHXMKTBCFHIYNQ-UHFFFAOYSA-N,Levosimendan,Calcium Channel,,,
CEEBBUFFTJLISP-UHFFFAOYSA-N,Gambogic Acid,"Bcl-2,Caspase",,,
OHCQJHSOBUTRHG-UHFFFAOYSA-N,Forskolin,cAMP,,,
ADFCQWZHKCXPAJ-UHFFFAOYSA-N,Equol,Estrogen/progestogen Receptor,,,
DKNWSYNQZKUICI-UHFFFAOYSA-N,Amantadine HCl,Dopamine Receptor,,,
SNPPWIUOZRMYNY-UHFFFAOYSA-N,Amfebutamone (Bupropion) HCl,"AChR,Dopamine Receptor",1,SLC6A3,DTXSID7022706
RFEZFSCPUMTOGS-UHFFFAOYSA-N,Benserazide HCl,Decarboxylase,,,
LEBVLXFERQHONN-UHFFFAOYSA-N,Bupivacaine HCl,Sodium Channel,,,
NZUPCNDJBJXXRF-UHFFFAOYSA-O,Bethanechol chloride,AChR,,,
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,Chlorpromazine HCl,"Potassium Channel,Dopamine Receptor",4,"DRD2, DRD1, HTR2A, DRD3",DTXSID0022808
KDLRVYVGXIQJDK-UHFFFAOYSA-N,Clindamycin HCl,Anti-infection,,,
GJSURZIOUXUGAL-UHFFFAOYSA-N,Clonidine HCl,"Adrenergic Receptor,Autophagy",3,"ADRA2C, ADRA2A, ADRA2B",DTXSID6022846
UWZUXQDYBRXWLI-UHFFFAOYSA-N,Clozapine,5-HT Receptor,17,"HTR2A, HTR1A, ADRA2A, HTR6, DRD2, HTR2C, HTR2B, KCNH2, HTR7, HRH1, DRD1, DRD5, CHRM1, DRD3, ADRA1D, DRD4, ADRA1A",DTXSID5022855
FASDKYOPVNHBLU-UHFFFAOYSA-N,Pramipexole,Dopamine Receptor,2,"DRD2, DRD3",DTXSID6023496
FGXWKSZFVQUSTL-UHFFFAOYSA-N,Domperidone,Dopamine Receptor,1,DRD2,DTXSID1045116
ADEBPBSSDYVVLD-UHFFFAOYSA-N,Donepezil HCl,AChR,4,"APP, ACHE, BCHE, MAOB","DTXSID8048317, DTXSID0046698"
PROQIPRRNZUXQM-UHFFFAOYSA-N,Estriol,Estrogen/progestogen Receptor,2,"ESR1, ESR2",DTXSID9022366
GGXKWVWZWMLJEH-UHFFFAOYSA-N,Famciclovir,Anti-infection,,,
HDDSHPAODJUKPD-UHFFFAOYSA-N,Fenbendazole,Anti-infection,,,
DAHOOVZVJYWQKK-UHFFFAOYSA-N,Fluocinolone Acetonide,Glucocorticoid Receptor,,,
OZLPUNFFCJDMJD-UHFFFAOYSA-N,Gallamine Triethiodide,AChR,1,CHRM2,DTXSID5023089
PBBGSZCBWVPOOL-UHFFFAOYSA-N,Hexestrol,Estrogen/progestogen Receptor,1,ESR1,DTXSID2022381
KTUFNOKKBVMGRW-UHFFFAOYSA-N,Imatinib (STI571),PDGFR,7,"SRC, KIT, PDGFRA, NTRK1, PDGFRB, ABL1, BCR",DTXSID3037125
VHVPQPYKVGDNFY-UHFFFAOYSA-N,Itraconazole,P450 (e.g. CYP17),,,
OJMMVQQUTAEWLP-UHFFFAOYSA-N,Lincomycin HCl,Anti-infection,,,
RDOIQAHITMMDAJ-UHFFFAOYSA-N,Loperamide HCl,"Opioid Receptor,Autophagy",1,OPRM1,DTXSID6045165
PIRWHBVBBBZNKG-UHFFFAOYSA-N,Manidipine,Calcium Channel,,,
PIRWHBVBBBZNKG-UHFFFAOYSA-N,Manidipine 2HCl,Calcium Channel,,,
PZRHRDRVRGEVNW-UHFFFAOYSA-N,Milrinone,PDE,2,"PDE3B, PDE3A",DTXSID5023324
YYJKSCIIZGQWEE-UHFFFAOYSA-N,Mitoxantrone 2HCl,Topoisomerase,1,ABCG2,DTXSID4046947
KJHOZAZQWVKILO-UHFFFAOYSA-N,Moroxydine HCl,Anti-infection,,,
LTBQFJVKVMGOEG-UHFFFAOYSA-N,Mycophenolic acid,Dehydrogenase,2,"IMPDH1, IMPDH2",DTXSID4041070
OELFLUMRDSZNSF-UHFFFAOYSA-N,Nateglinide,Potassium Channel,,,
ALWKGYPQUAPLQC-UHFFFAOYSA-N,Neostigmine Bromide,AChR,1,ACHE,DTXSID1023360
VVTJQHCRBOHFTD-UHFFFAOYSA-N,Nitrendipine,"Calcium Channel,Autophagy",,,
DYYIUCVAQGRACE-UHFFFAOYSA-N,Novobiocin Sodium,Topoisomerase,,,
PYIOFGCQUACEBY-UHFFFAOYSA-N,Olanzapine,"5-HT Receptor,Dopamine Receptor",8,"DRD1, HTR2A, DRD3, HRH1, HTR6, HTR2C, DRD2, HTR1A",DTXSID9023388
JBIMVDZLSHOPLA-UHFFFAOYSA-N,Olopatadine HCl,Histamine Receptor,1,HRH1,DTXSID3023390
SHZKQBHERIJWAO-UHFFFAOYSA-N,Ozagrel,P450 (e.g. CYP17),,,
GVEAYVLWDAFXET-UHFFFAOYSA-N,Pancuronium dibromide,AChR,,,
QZVCTJOXCFMACW-UHFFFAOYSA-N,Phenoxybenzamine HCl,Adrenergic Receptor,,,
JWHAUXFOSRPERK-UHFFFAOYSA-N,Propafenone HCl,Sodium Channel,,,
WLJNZVDCPSBLRP-UHFFFAOYSA-N,Pyrantel Pamoate,Anti-infection,,,
LOUPRKONTZGTKE-UHFFFAOYSA-N,Quinine HCl Dihydrate,Potassium Channel,4,"SCN5A, ABCB1, SLC22A1, CYP2D6","DTXSID4023549, DTXSID0044280"
ODUOJXZPIYUATO-UHFFFAOYSA-N,Racecadotril,Opioid Receptor,,,
FLDPBMANMDLQTH-UHFFFAOYSA-N,Rosiglitazone maleate,PPAR,3,"PPARG, PPARD, PPARA",DTXSID7037131
RXZBMPWDPOLZGW-UHFFFAOYSA-N,Roxithromycin,Anti-infection,,,
NDAUXUAQIAJITI-UHFFFAOYSA-N,Salbutamol Sulfate,Adrenergic Receptor,1,ADRB2,DTXSID5021255
STECJAGHUSJQJN-UHFFFAOYSA-N,Scopolamine HBr,AChR,,,
ZBMZVLHSJCTVON-UHFFFAOYSA-N,Sotalol HCl,Adrenergic Receptor,2,"ADRB2, ADRB1",DTXSID0023589
UNFWWIHTNXNPBV-UHFFFAOYSA-N,Spectinomycin 2HCl,Anti-infection,,,
PJSFRIWCGOHTNF-UHFFFAOYSA-N,Sulfadoxine,Anti-infection,,,
OTGJPAOGHQFBMI-UHFFFAOYSA-N,Tenoxicam,Immunology & Inflammation related,1,PTGS2,DTXSID8045486
NLVFBUXFDBBNBW-UHFFFAOYSA-N,Tobramycin,Anti-infection,,,
SECKRCOLJRRGGV-UHFFFAOYSA-N,Vardenafil HCl Trihydrate,PDE,1,PDE5A,DTXSID3048318
BPICBUSOMSTKRF-UHFFFAOYSA-N,Xylazine HCl,Adrenergic Receptor,,,
QSLMDECMDJKHMQ-UHFFFAOYSA-N,Maprotiline HCl,Adrenergic Receptor,,,
DORHNOYQNNAZDY-UHFFFAOYSA-N,NAD+,Others,,,
CNIIGCLFLJGOGP-UHFFFAOYSA-N,Naphazoline HCl,Adrenergic Receptor,1,ADRA1A,DTXSID3048449
UCTWMZQNUQWSLP-UHFFFAOYSA-N,Epinephrine bitartrate,Adrenergic Receptor,5,"ADRB2, ADRB1, ADRB3, ADRA1A, ADRA2A",DTXSID5022986
UCTWMZQNUQWSLP-UHFFFAOYSA-N,L-Adrenaline,Adrenergic Receptor,5,"ADRB2, ADRB1, ADRB3, ADRA1A, ADRA2A",DTXSID5022986
CXOFVDLJLONNDW-UHFFFAOYSA-N,Phenytoin Sodium,Sodium Channel,2,"SCN3A, SCN2A",DTXSID8020541
CXOFVDLJLONNDW-UHFFFAOYSA-N,Phenytoin,Sodium Channel,2,"SCN3A, SCN2A",DTXSID8020541
QNJKSUYWBCNWFI-UHFFFAOYSA-N,Methacycline HCl,Anti-infection,,,
SCKYRAXSEDYPSA-UHFFFAOYSA-N,Ciclopirox,"ATPase,Anti-infection",,,
VYFYYTLLBUKUHU-UHFFFAOYSA-N,Dopamine HCl,Dopamine Receptor,6,"CA2, DRD2, DRD1, DRD4, CA1, DRD3",DTXSID6022420
FLIJLHAXSUEBCW-UHFFFAOYSA-N,7-Aminocephalosporanic acid,Anti-infection,,,
IOVGROKTTNBUGK-UHFFFAOYSA-N,Ritodrine HCl,Adrenergic Receptor,,,
MPIPASJGOJYODL-UHFFFAOYSA-N,Isoconazole nitrate,Anti-infection,,,
BYBLEWFAAKGYCD-UHFFFAOYSA-N,Miconazole,Anti-infection,,,
KPQZUUQMTUIKBP-UHFFFAOYSA-N,Secnidazole,Anti-infection,,,
FZERHIULMFGESH-UHFFFAOYSA-N,Acetanilide,Others,,,
ZEKZLJVOYLTDKK-UHFFFAOYSA-N,Lomefloxacin HCl,Anti-infection,,,
GDLIGKIOYRNHDA-UHFFFAOYSA-N,Clomipramine HCl,5-HT Receptor,1,SLC6A4,DTXSID6022844
ICFJFFQQTFMIBG-UHFFFAOYSA-N,Phenformin HCl,AMPK,,,
ZBHXIWJRIFEVQY-UHFFFAOYSA-N,Ceftiofur HCl,Anti-infection,,,
LERNTVKEWCAPOY-UHFFFAOYSA-N,Tiotropium Bromide hydrate,AChR,,,
OOGJQPCLVADCPB-UHFFFAOYSA-N,Tolterodine tartrate,AChR,2,"CHRM3, CHRM2",DTXSID3023687
