CAS Number,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
60628-96-8,CASRN,DTXSID9045631,Bifonazole,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1
70458-95-6,CASRN,DTXSID8045935,Pefloxacin mesylate,CS(O)(=O)=O.CCN1C=C(C(O)=O)C(=O)C2=C1C=C(N1CCN(C)CC1)C(F)=C2
56392-17-7,CASRN,DTXSID9037248,Metoprolol tartrate,O[C@H]([C@@H](O)C([O-])=O)C([O-])=O.COCCC1=CC=C(OCC(O)C[NH2+]C(C)C)C=C1.COCCC1=CC=C(OCC(O)C[NH2+]C(C)C)C=C1
2809-21-4,CASRN,DTXSID6023028,Etidronic acid,CC(O)(P(O)(O)=O)P(O)(O)=O
84-17-3,CASRN,DTXSID7022382,Dienestrol,CC=C(C(=CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
56-53-1,CASRN,DTXSID3020465,Diethylstilbestrol,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
33286-22-5,CASRN,DTXSID8040147,Diltiazem hydrochloride,Cl.COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
147-24-0,CASRN,DTXSID4020537,Diphenhydramine hydrochloride,Cl.CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
129938-20-1,CASRN,DTXSID20926531,"N,N-Dimethyl-3-[(naphthalen-1-yl)oxy]-1-phenylpropan-1-amine--hydrogen chloride (1/1)",Cl.[H][C@@](CCOC1=CC=CC2=CC=CC=C12)(N(C)C)C1=CC=CC=C1
1197-18-8,CASRN,DTXSID3045350,Tranexamic acid,NC[C@H]1CC[C@@H](CC1)C(O)=O
124832-27-5,CASRN,DTXSID2044210,Valacyclovir hydrochloride,Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O
82410-32-0,CASRN,DTXSID8041032,Ganciclovir,NC1=NC2=C(N=CN2COC(CO)CO)C(=O)N1
93793-83-0,CASRN,DTXSID2046670,Roxatidine acetate hydrochloride,Cl.CC(=O)OCC(=O)NCCCOC1=CC(CN2CCCCC2)=CC=C1
14222-60-7,CASRN,DTXSID7045940,Prothionamide,CCCC1=CC(=CC=N1)C(N)=S
54-42-2,CASRN,DTXSID2045238,Idoxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
110871-86-8,CASRN,DTXSID9023590,Sparfloxacin,C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C2=C(C(N)=C1F)C(=O)C(=CN2C1CC1)C(O)=O
72509-76-3,CASRN,DTXSID4023042,Felodipine,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC
14484-47-0,CASRN,DTXSID9020378,Deflazacort,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(N=C(C)O2)C(=O)COC(C)=O
76963-41-2,CASRN,DTXSID5023376,Nizatidine,CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O
28860-95-9,CASRN,DTXSID4022735,Carbidopa,C[C@@](CC1=CC=C(O)C(O)=C1)(NN)C(O)=O
137862-53-4,CASRN,DTXSID6023735,Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)[C@@H](C(C)C)C(O)=O
58-32-2,CASRN,DTXSID6040668,Dipyridamole,OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N=C(N3CCCCC3)C2=N1)N(CCO)CCO
0127-07-01,Searched by Synonym: Found 0 results,N/A,N/A,N/A
7681-11-0,CASRN,DTXSID7034836,Potassium iodide,[K+].[I-]
105826-92-4,CASRN,DTXSID50909756,3-Tropanyl-indole-3-carboxylate hydrochloride,Cl.CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C1=CNC2=C1C=CC=C2
98-92-0,CASRN,DTXSID2020929,Niacinamide,NC(=O)C1=CC=CN=C1
68-19-9,CASRN,DTXSID7044346,Vitamin B12,[Co+3].[C-]#N.[H]C1(O)[C@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)[C@@]3([H])[N-]\C2=C(C)/C2=N/C(=C\C4=N\C(=C(C)/C5=N[C@]3(C)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)\[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)/C(C)(C)[C@@H]2CCC(N)=O)[C@@H](CO)O[C@@H]1N1C=NC2=C1C=C(C)C(C)=C2
15307-79-6,CASRN,DTXSID3037208,Diclofenac sodium,[Na+].[O-]C(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
70356-09-01,Searched by Synonym: Found 0 results,N/A,N/A,N/A
88150-42-9,CASRN,DTXSID7022596,Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
443-48-1,CASRN,DTXSID2020892,Metronidazole,CC1=NC=C(N1CCO)[N+]([O-])=O
13311-84-7,CASRN,DTXSID7032004,Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
93957-55-2,CASRN,DTXSID3044758,Fluvastatin sodium,[Na+].CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC([O-])=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1
65899-73-2,CASRN,DTXSID3046619,Tioconazole,ClC1=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=CS1
15826-37-6,CASRN,DTXSID7044554,Cromolyn sodium,[Na+].[Na+].OC(COC1=CC=CC2=C1C(=O)C=C(O2)C([O-])=O)COC1=CC=CC2=C1C(=O)C=C(O2)C([O-])=O
1508-75-4,CASRN,DTXSID8045220,Tropicamide,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1
145-13-1,CASRN,DTXSID1036541,Pregnenolone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
723-46-6,CASRN,DTXSID8026064,Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1
127-69-5,CASRN,DTXSID6021292,Sulfisoxazole,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
548-62-9,CASRN,DTXSID5020653,Gentian Violet,[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C
52-86-8,CASRN,DTXSID4034150,Haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
83-12-5,CASRN,DTXSID5023453,Phenindione,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1
57381-26-7,CASRN,DTXSID8043999,Irsogladine,NC1=NC(=NC(N)=N1)C1=CC(Cl)=CC=C1Cl
124-94-7,CASRN,DTXSID1040742,Triamcinolone,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
62997-67-5,CASRN,DTXSID80212205,Nystatin A3,CC1OC(CC(O)C1O)OC1C(C)C=CC=CCCC=CC=CC=CC=CC(CC2OC(O)(CC(O)C2C(O)=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C1C)OC1OC(C)C(O)C(N)C1O
54-85-3,CASRN,DTXSID8020755,Isoniazid,NNC(=O)C1=CC=NC=C1
16595-80-5,CASRN,DTXSID7047518,Levamisole hydrochloride,Cl.C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1
100986-85-4,CASRN,DTXSID0041060,Levofloxacin,C[C@H]1COC2=C(N3CCN(C)CC3)C(F)=CC3=C2N1C=C(C(O)=O)C3=O
76095-16-4,CASRN,DTXSID30896796,Enalapril maleate,OC(=O)\C=C/C(O)=O.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O
58-27-5,CASRN,DTXSID4021715,Menadione,CC1=CC(=O)C2=C(C=CC=C2)C1=O
1115-70-4,CASRN,DTXSID9037246,Metformin hydrochloride,Cl.CN(C)C(=N)NC(N)=N
298-81-7,CASRN,DTXSID8020830,8-Methoxypsoralen,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
22832-87-7,CASRN,DTXSID50996767,(+/-)-Miconazole nitrate,ON(=O)=O.ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1
144-82-1,CASRN,DTXSID5023615,Sulfamethizole,CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1
68373-14-8,CASRN,DTXSID1023605,Sulbactam,[H][C@@]12CC(=O)N1[C@@H](C(O)=O)C(C)(C)S2(=O)=O
13710-19-5,CASRN,DTXSID1045409,Tolfenamic acid,CC1=C(Cl)C=CC=C1NC1=C(C=CC=C1)C(O)=O
52549-17-4,CASRN,DTXSID1023497,Pranoprofen,CC(C(O)=O)C1=CC2=C(OC3=NC=CC=C3C2)C=C1
13392-28-4,CASRN,DTXSID2023561,Rimantadine,CC(N)C12CC3CC(CC(C3)C1)C2
125-33-7,CASRN,DTXSID7023510,Primidone,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
77191-36-7,CASRN,DTXSID2020923,Nefiracetam,CC1=CC=CC(C)=C1NC(=O)CN1CCCC1=O
65141-46-0,CASRN,DTXSID8045692,Nicorandil,[O-][N+](=O)OCCNC(=O)C1=CN=CC=C1
54965-24-1,CASRN,DTXSID8021301,Tamoxifen citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
6284-40-8,CASRN,DTXSID0023244,"(2R,3R,4R,5S)-6-(Methylamino)hexane-1,2,3,4,5-pentol",CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
129722-12-9,CASRN,DTXSID3046083,Aripiprazole,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl
91296-87-6,CASRN,DTXSID8045939,Sarafloxacin hydrochloride,Cl.OC(=O)C1=CN(C2=CC=C(F)C=C2)C2=C(C=C(F)C(=C2)N2CCNCC2)C1=O
155-41-9,CASRN,DTXSID2040608,(-)-Scopolamine methobromide,[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1
19774-82-4,CASRN,DTXSID7037185,Amiodarone hydrochloride,Cl.CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
321-30-2,CASRN,DTXSID50883360,"9H-Purin-6-amine, sulfate (2:1)",OS(O)(=O)=O.NC1=NC=NC2=C1N=CN2.NC1=NC=NC2=C1N=CN2
2922-28-3,CASRN,DTXSID10883907,"9H-Purin-6-amine, hydrochloride (1:1)",Cl.NC1=NC=NC2=C1N=CN2
53885-35-1,CASRN,DTXSID80202141,Ticlopidine hydrochloride,Cl.ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
987-65-5,CASRN,DTXSID80891312,Adenosine triphosphate disodium,[Na+].[Na+].NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]3O)C2=NC=N1
1104-22-9,CASRN,DTXSID9045348,Meclozine dihydrochloride,Cl.Cl.CC1=CC=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=C1
83919-23-7,CASRN,DTXSID4023333,Mometasone furoate,[H][C@@]12C[C@@H](C)[C@](OC(=O)C3=CC=CO3)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
51-52-5,CASRN,DTXSID5021209,6-Propyl-2-thiouracil,CCCC1=CC(=O)NC(=S)N1
404-86-4,CASRN,DTXSID9020241,Capsaicin,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1
80474-14-2,CASRN,DTXSID8045511,Fluticasone propionate,[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
103890-78-4,CASRN,DTXSID1046429,Lacidipine,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(\C=C\C(=O)OC(C)(C)C)C=CC=C1)C(=O)OCC
366-70-1,CASRN,DTXSID3021190,Procarbazine hydrochloride,Cl.CNNCC1=CC=C(C=C1)C(=O)NC(C)C
68-41-7,CASRN,DTXSID8022870,Cycloserine,N[C@@H]1CONC1=O
156-54-7,CASRN,DTXSID3037672,Sodium butyrate,[Na+].CCCC([O-])=O
697761-98-1,CASRN,DTXSID101021650,Elvitegravir,[H]OC(=O)C1=C([H])N(C2=C(C([H])=C(C(OC([H])([H])[H])=C2[H])C([H])([H])C2=C(F)C(Cl)=C([H])C([H])=C2[H])C1=O)C([H])(C([H])([H])O[H])C([H])(C([H])([H])[H])C([H])([H])[H]
376348-65-1,CASRN,DTXSID8048949,Maraviroc,CC(C)C1=NN=C(C)N1[C@@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1=CC=CC=C1
518048-05-0,CASRN,DTXSID2048660,Raltegravir,CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1
58-14-0,CASRN,DTXSID9021217,Pyrimethamine,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1
38194-50-2,CASRN,DTXSID4023624,Sulindac,CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O
107-35-7,CASRN,DTXSID3021304,l-Taurine,NCCS(O)(=O)=O
191217-81-9,CASRN,DTXSID1044227,Pramipexole dihydrochloride monohydrate,O.Cl.Cl.CCCN[C@H]1CCC2=C(C1)SC(N)=N2
950762-95-5,CASRN,DTXSID10647187,N-Hydroxy-1-[(4-methoxyphenyl)methyl]-1H-indole-6-carboxamide,COC1=CC=C(CN2C=CC3=C2C=C(C=C3)C(=O)NO)C=C1
869288-64-2,CASRN,DTXSID10469447,"6-[[4-[(3-Methylsulfonylphenyl)methylamino]-5-(trifluoromethyl)pyrimidin-2-yl]amino]-3,4-dihydro-1H-quinolin-2-one",CS(=O)(=O)C1=CC=CC(CNC2=NC(NC3=CC4=C(NC(=O)CC4)C=C3)=NC=C2C(F)(F)F)=C1
582315-72-8,CASRN,DTXSID00206969,BMS-265246,CCCCOC1=C2C=NNC2=NC=C1C(=O)C1=C(F)C=C(C)C=C1F
94055-76-2,CASRN,DTXSID9045003,Suplatast tosylate,CC1=CC=C(C=C1)S([O-])(=O)=O.CCOCC(O)COC1=CC=C(NC(=O)CC[S+](C)C)C=C1
85650-52-8,CASRN,DTXSID0023325,Mirtazapine,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1
91599-74-5,CASRN,DTXSID2049050,rac Benidipine hydrochloride,Cl.COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC=CC(=C1)[N+]([O-])=O)C(=O)O[C@@H]1CCCN(CC2=CC=CC=C2)C1
1291074-87-7,CASRN,DTXSID90735339,"(2S,3S)-2,3-Dihydroxybutanedioic acid--6-(4-methylpiperazin-1-yl)-N-(5-methyl-1H-pyrazol-3-yl)-2-[(E)-2-phenylethenyl]pyrimidin-4-amine (1/1)",O[C@@H]([C@H](O)C(O)=O)C(O)=O.CN1CCN(CC1)C1=NC(\C=C\C2=CC=CC=C2)=NC(NC2=NNC(C)=C2)=C1
43229-80-7,CASRN,DTXSID5044239,Formoterol hemifumarate,OC(=O)\C=C\C(O)=O.COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1.COC1=CC=C(C[C@@H](C)NC[C@H](O)C2=CC(NC=O)=C(O)C=C2)C=C1
80-77-3,CASRN,DTXSID3022798,Chlormezanone,CN1C(C2=CC=C(Cl)C=C2)S(=O)(=O)CCC1=O
34580-14-8,CASRN,DTXSID30892970,Ketotifen fumarate,OC(=O)\C=C\C(O)=O.CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=C1C=CC=C2
64887-14-5,CASRN,DTXSID2045812,Urapidil hydrochloride,Cl.COC1=C(C=CC=C1)N1CCN(CCCNC2=CC(=O)N(C)C(=O)N2C)CC1
101831-37-2,CASRN,DTXSID4046787,Diclazuril,ClC1=CC=C(C=C1)C(C#N)C1=C(Cl)C=C(C=C1Cl)N1N=CC(=O)NC1=O
58-96-8,CASRN,DTXSID40891555,Uridine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
30484-77-6,CASRN,DTXSID80184554,Flunarizine hydrochloride,Cl.Cl.FC1=CC=C(C=C1)C(N1CCN(C\C=C\C2=CC=CC=C2)CC1)C1=CC=C(F)C=C1
73151-29-8,CASRN,DTXSID30993890,"Nitric acid--1-[2-(2,4-dichlorophenyl)-2-{[4-(phenylsulfanyl)phenyl]methoxy}ethyl]-1H-imidazole (1/1)",ON(=O)=O.ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CC=C(SC2=CC=CC=C2)C=C1
90098-04-07,Searched by Synonym: Found 0 results,N/A,N/A,N/A
82159-09-09,Searched by Synonym: Found 0 results,N/A,N/A,N/A
22839-47-0,CASRN,DTXSID0020107,Aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
145040-37-5,CASRN,DTXSID5020239,Candesartan cilexetil,CCOC1=NC2=CC=CC(C(=O)OC(C)OC(=O)OC3CCCCC3)=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1
65-28-1,CASRN,DTXSID60215315,Phentolamine mesylate,CS(O)(=O)=O.CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1
51803-78-2,CASRN,DTXSID3037250,Nimesulide,CS(=O)(=O)NC1=CC=C(C=C1OC1=CC=CC=C1)[N+]([O-])=O
536-43-6,CASRN,DTXSID6045323,Dyclonine hydrochloride,Cl.CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1
427-51-0,CASRN,DTXSID5020366,Cyproterone acetate,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
41100-52-1,CASRN,DTXSID90961439,"3,5-Dimethyltricyclo(3.3.1.13,7)decan-1-amine hydrochloride",Cl.CC12CC3CC(C)(C1)CC(N)(C3)C2
969-33-5,CASRN,DTXSID5042586,Cyproheptadine hydrochloride,Cl.CN1CCC(CC1)=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2
05/09/3094,Searched by Synonym: Found 0 results,N/A,N/A,N/A
112529-15-4,CASRN,DTXSID3044203,Pioglitazone hydrochloride,Cl.CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1
70374-39-9,CASRN,DTXSID6046133,Lornoxicam,CN1C(C(=O)NC2=CC=CC=N2)C(=O)C2=C(C=C(Cl)S2)S1(=O)=O
24729-96-2,CASRN,DTXSID1048677,Clindamycin phosphate,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](OP(O)(O)=O)[C@@H](O)[C@H]1O
62571-86-2,CASRN,DTXSID1037197,Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O
6153-64-6,CASRN,DTXSID4023412,Oxytetracycline dihydrate,O.O.[H][C@]12[C@H](O)C3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C(C=CC=C1O)[C@@]2(C)O
65-46-3,CASRN,DTXSID60891552,Cytidine,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
4682-36-4,CASRN,DTXSID8044678,Orphenadrine dihydrogen citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1
103766-25-2,CASRN,DTXSID8046799,Gimeracil,OC1=CC(=O)NC=C1Cl
6055-19-2,CASRN,DTXSID6024888,Cyclophosphamide monohydrate,O.ClCCN(CCCl)P1(=O)NCCCO1
2398-96-1,CASRN,DTXSID3042477,Tolnaftate,CN(C(=S)OC1=CC2=CC=CC=C2C=C1)C1=CC=CC(C)=C1
70024-40-7,Deleted CAS-RN,DTXSID7045493,Terazosin hydrochloride,Cl.COC1=CC2=NC(=NC(N)=C2C=C1OC)N1CCN(CC1)C(=O)C1CCCO1
611-75-6,CASRN,DTXSID0045886,Bromhexine hydrochloride,Cl.CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1
75330-75-5,CASRN,DTXSID5020784,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
02/02/1953,Searched by Synonym: Found 0 results,N/A,N/A,N/A
127294-70-6,CASRN,DTXSID5046695,Balofloxacin,CNC1CCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
118288-08-7,CASRN,DTXSID0046434,Lafutidine,O=C(CS(=O)CC1=CC=CO1)NC\C=C/COC1=NC=CC(CN2CCCCC2)=C1
75438-57-2,CASRN,DTXSID5045170,Moxonidine,COC1=NC(C)=NC(Cl)=C1NC1=NCCN1
78712-43-3,CASRN,DTXSID9045506,Ozagrel hydrochloride,Cl.OC(=O)\C=C\C1=CC=C(CN2C=CN=C2)C=C1
74863-84-6,CASRN,DTXSID7046467,Argatroban,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
123447-62-1,CASRN,DTXSID0046480,Prulifloxacin,CC1SC2=C(C(O)=O)C(=O)C3=CC(F)=C(C=C3N12)N1CCN(CC2=C(C)OC(=O)O2)CC1
302543-62-0,CASRN,DTXSID90432078,Rosiglitazone hydrochloride,Cl.CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1
83915-83-7,CASRN,DTXSID2045600,Lisinopril dihydrate,O.O.NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O
134523-03-8,CASRN,DTXSID6044303,Atorvastatin calcium,[Ca++].CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
76824-35-6,CASRN,DTXSID5023039,Famotidine,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1
82586-52-5,CASRN,DTXSID7044267,Moexipril hydrochloride,Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=C(C[C@H]1C(O)=O)C=C(OC)C(OC)=C2
167221-71-8,CASRN,DTXSID6057661,Clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC
62929-91-3,CASRN,DTXSID901352788,Procaterol hydrochloride,Cl.CC[C@@H](NC(C)C)[C@@H](O)C1=CC=C(O)C2=C1C=CC(=O)N2
136434-34-9,CASRN,DTXSID9046443,Duloxetine hydrochloride,Cl.CNCC[C@H](OC1=C2C=CC=CC2=CC=C1)C1=CC=CS1
39133-31-8,CASRN,DTXSID4023707,Trimebutine,CCC(COC(=O)C1=CC(OC)=C(OC)C(OC)=C1)(N(C)C)C1=CC=CC=C1
148849-67-6,CASRN,DTXSID2046913,Ivabradine hydrochloride,Cl.COC1=C(OC)C=C2[C@@H](CN(C)CCCN3CCC4=CC(OC)=C(OC)C=C4CC3=O)CC2=C1
129101-54-8,CASRN,DTXSID8047840,Rivastigmine tartrate,O[C@@H]([C@H](O)C(O)=O)C(O)=O.CCN(C)C(=O)OC1=CC(=CC=C1)[C@H](C)N(C)C
145108-58-3,CASRN,DTXSID40873215,Dexmedetomidine hydrochloride,Cl.C[C@H](C1=CN=CN1)C1=CC=CC(C)=C1C
63659-18-7,CASRN,DTXSID2022674,Betaxolol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
90038-01-0,CASRN,DTXSID7048661,Detomidine hydrochloride,Cl.CC1=CC=CC(CC2=CNC=N2)=C1C
88889-14-9,CASRN,DTXSID7046621,Fosinopril sodium,[Na+].CCC(=O)OC(OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C([O-])=O)C1CCCCC1)C(C)C
181183-52-8,CASRN,DTXSID1044225,Almotriptan Malate,OC(CC(O)=O)C(O)=O.CN(C)CCC1=CNC2=CC=C(CS(=O)(=O)N3CCCC3)C=C12
177036-94-1,CASRN,DTXSID4046282,Ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
153559-49-0,CASRN,DTXSID1040619,Bexarotene,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C
110221-44-8,CASRN,DTXSID7046914,Temocapril hydrochloride,Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CS[C@@H](CN(CC(O)=O)C1=O)C1=CC=CS1
56974-61-9,CASRN,DTXSID0045591,Gabexate mesilate,CS(O)(=O)=O.CCOC(=O)C1=CC=C(OC(=O)CCCCCNC(N)=N)C=C1
161735-79-1,CASRN,DTXSID8047848,Rasagiline mesylate,CS(O)(=O)=O.C#CCN[C@@H]1CCC2=CC=CC=C12
16676-29-2,CASRN,DTXSID50937236,Naltrexone hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
23672-07-03,Searched by Synonym: Found 0 results,N/A,N/A,N/A
102625-70-7,CASRN,DTXSID4023416,Pantoprazole,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=CC(OC(F)F)=C3)=NC=C1
123040-16-4,CASRN,DTXSID00924358,"N-(1-Azabicyclo[2.2.2]octan-3-yl)-6-chloro-4-methyl-3-oxo-3,4-dihydro-2H-1,4-benzoxazine-8-carboximidic acid--hydrogen chloride (1/1)",Cl.CN1C(=O)COC2=C(C=C(Cl)C=C12)C(O)=NC1CN2CCC1CC2
42461-84-7,CASRN,DTXSID1045584,Flunixin meglumine,CNC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.CC1=C(C=CC=C1NC1=NC=CC=C1C(O)=O)C(F)(F)F
89396-94-1,CASRN,DTXSID7046912,Imidapril hydrochloride,Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@@H](CN(C)C1=O)C(O)=O
